zip	entry	movement_id	title
812-817.zip	bwv816.mid	bach.bwv816.1	Suite (complete)
806-811.zip	bwv807.mid	bach.bwv807.1	Suite (complete)
825-830.zip	BWV825.MID	bach.bwv825.1	Partita (complete)
825-830.zip	BWV826.MID	bach.bwv826.1	Partita (complete)
972-987.zip	BWV974.MID	bach.bwv974.1	Concerto (complete)
misc3.zip	bwv903.mid	bach.bwv903.1	Fantasia and Fugue
bwv988.zip	BWV988.MID	bach.bwv988.1	Aria and thirty variations
scarlatti.zip	K001.MID	scarlatti.k001.1	Sonata
scarlatti.zip	K009.MID	scarlatti.k009.1	Sonata
scarlatti.zip	K027.MID	scarlatti.k027.1	Sonata
scarlatti.zip	K087.MID	scarlatti.k087.1	Sonata
scarlatti.zip	K096.MID	scarlatti.k096.1	Sonata
scarlatti.zip	K141.MID	scarlatti.k141.1	Sonata
scarlatti.zip	K159.MID	scarlatti.k159.1	Sonata
scarlatti.zip	K208.MID	scarlatti.k208.1	Sonata
scarlatti.zip	K380.MID	scarlatti.k380.1	Sonata
scarlatti.zip	K466.MID	scarlatti.k466.1	Sonata
